@relation 'Clean_Dataset-weka.filters.unsupervised.instance.Resample-S1-Z5.0-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.SwapValues-C5-F1-S6-weka.filters.unsupervised.attribute.SwapValues-C5-F2-S3-weka.filters.unsupervised.attribute.SwapValues-C3-F1-S6-weka.filters.unsupervised.attribute.SwapValues-C3-F5-S6-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-L1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.NominalToBinary-R1,2,6-weka.filters.unsupervised.attribute.OrdinalToNumeric-R13-15-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11-13,16-20,22'

@attribute airline=Vistara numeric
@attribute source_city=Kolkata numeric
@attribute stops numeric
@attribute arrival_time numeric
@attribute destination_city=Delhi numeric
@attribute days_left numeric
@attribute price numeric

@data
1,0,0.5,0.8,0,0.625,0.388709
0,0,0.5,0.4,0,0.895833,0.366607
0,0,0.5,1,0,0.083333,0.386542
1,0,0.5,0.8,0,0.208333,0.335152
0,0,0.5,0.6,0,0,0.216081
1,0,0.5,1,0,0.354167,0.415956
1,0,0.5,0.4,0,0.104167,0.286175
0,0,0.5,0.2,0,0.270833,0.443261
1,0,0.5,0.6,0,0.0625,0.633188
1,0,0.5,1,0,0.625,0.452145
0,0,0.5,0.2,0,0.875,0.311078
0,0,0,1,0,0.833333,0.099108
1,1,0.5,0.8,0,0.666667,0.424683
0,0,0.5,0.8,0,0.75,0.38043
1,1,0.5,1,0,0.875,0.478142
1,1,0.5,0.8,0,0.520833,0.478142
1,0,0.5,0.4,0,0.9375,0.56367
1,0,0.5,0.4,0,0.708333,0.514478
0,0,0.5,0.8,0,0.916667,0.297333
0,0,0.5,0.4,0,0.375,0.386542
1,0,0.5,1,0,0.729167,0.53697
1,0,0.5,0.6,0,0.979167,0.452145
1,0,0.5,0.2,0,0.833333,0.464074
0,0,0.5,1,0,0.5625,0.435305
0,0,1,0.4,0,0.020833,0.463625
1,0,0.5,0.4,0,0.416667,0.500586
1,0,0.5,0.8,1,0.854167,0.41823
0,0,0.5,0.8,1,0.166667,0.252319
1,0,0.5,0.4,0,0.520833,0.423463
0,0,0.5,0.8,0,0.291667,0.435305
1,0,0,0.4,1,0.958333,0.204258
1,0,0.5,0.2,0,1,0.253676
1,0,0.5,1,0,0.666667,0.571959
0,0,0.5,0.4,1,0.208333,0.284095
1,0,0.5,1,0,0.5625,0.313802
1,0,0.5,1,0,0.0625,0.592938
1,0,0.5,0.6,0,0.104167,0.385194
1,0,0.5,1,0,0.354167,0.687858
1,0,0.5,0.4,0,0.5,0.435285
0,1,0.5,0.4,0,0.416667,0.39111
0,0,0,0.4,0,0.8125,0.116602
0,0,0.5,1,0,0.333333,0.266718
1,0,0.5,0.4,0,0.9375,0.543228
0,0,0.5,1,0,0.416667,0.366607
1,0,0.5,0.6,1,0.270833,0.297958
1,0,0.5,0.8,0,0.125,0.522571
1,0,0.5,0.4,0,0.083333,0.648222
1,0,0.5,0.8,0,0.0625,0.503514
1,0,0.5,1,0,0.583333,0.471133
0,1,0.5,1,1,0.1875,0.311518
1,0,0,1,0,0.833333,0.155964
1,0,0.5,1,0,0.229167,0.444823
0,0,0.5,0.8,0,0.875,0.246559
1,0,0.5,0.4,0,0.1875,0.286175
0,0,0.5,0.8,0,0.041667,0.359031
1,0,0.5,1,0,0.979167,0.586378
0,0,0.5,1,1,0.791667,0.347394
1,0,0.5,0.4,0,0.354167,0.627858
1,0,0.5,0.8,0,0.645833,0.331872
1,0,0.5,0.6,0,0.333333,0.229514
0,0,0.5,1,1,0.895833,0.252729
1,0,0.5,1,0,0.416667,0.401859
0,1,0.5,0.4,0,0.520833,0.329734
1,1,0.5,1,0,0.916667,0.478142
