@relation 'Clean_Dataset-weka.filters.unsupervised.instance.Resample-S1-Z5.0-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.SwapValues-C5-F1-S6-weka.filters.unsupervised.attribute.SwapValues-C5-F2-S3-weka.filters.unsupervised.attribute.SwapValues-C3-F1-S6-weka.filters.unsupervised.attribute.SwapValues-C3-F5-S6-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-L1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.NominalToBinary-R1,2,6-weka.filters.unsupervised.attribute.OrdinalToNumeric-R13-15-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-unset-class-temporarily'

@attribute airline=SpiceJet numeric
@attribute airline=AirAsia numeric
@attribute airline=Vistara numeric
@attribute airline=GO_FIRST numeric
@attribute airline=Indigo numeric
@attribute airline=Air_India numeric
@attribute source_city=Delhi numeric
@attribute source_city=Mumbai numeric
@attribute source_city=Bangalore numeric
@attribute source_city=Kolkata numeric
@attribute source_city=Hyderabad numeric
@attribute source_city=Chennai numeric
@attribute departure_time numeric
@attribute stops numeric
@attribute arrival_time numeric
@attribute destination_city=Mumbai numeric
@attribute destination_city=Bangalore numeric
@attribute destination_city=Kolkata numeric
@attribute destination_city=Hyderabad numeric
@attribute destination_city=Chennai numeric
@attribute destination_city=Delhi numeric
@attribute duration numeric
@attribute days_left numeric
@attribute price numeric

@data
0,0,1,0,0,0,0,0,1,0,0,0,0.8,0.5,0.8,0,0,1,0,0,0,0.706449,0.625,0.388709
0,0,0,0,0,1,0,0,0,0,0,1,1,0.5,0.4,1,0,0,0,0,0,0.457114,0.895833,0.366607
0,0,0,0,0,1,0,0,0,0,1,0,0.4,0.5,1,0,0,0,0,1,0,0.368351,0.083333,0.386542
0,0,1,0,0,0,0,0,0,0,1,0,1,0.5,0.8,0,1,0,0,0,0,0.681516,0.208333,0.335152
0,0,0,0,0,1,0,1,0,0,0,0,1,0.5,0.6,0,1,0,0,0,0,0.562168,0,0.216081
0,0,1,0,0,0,0,1,0,0,0,0,0.6,0.5,1,0,1,0,0,0,0,0.301862,0.354167,0.415956
0,0,1,0,0,0,0,0,0,0,1,0,0.6,0.5,0.4,0,0,0,0,1,0,0.723072,0.104167,0.286175
0,0,0,0,0,1,1,0,0,0,0,0,1,0.5,0.2,0,0,1,0,0,0,0.227061,0.270833,0.443261
0,0,1,0,0,0,0,0,1,0,0,0,0.2,0.5,0.6,1,0,0,0,0,0,0.193816,0.0625,0.633188
0,0,1,0,0,0,0,0,0,0,1,0,0.2,0.5,1,1,0,0,0,0,0,0.526263,0.625,0.452145
0,0,0,0,0,1,0,0,1,0,0,0,0.2,0.5,0.2,0,0,0,0,1,0,0.778258,0.875,0.311078
0,0,0,0,0,1,1,0,0,0,0,0,0.8,0,1,1,0,0,0,0,0,0.035904,0.833333,0.099108
