@relation 'Clean_Dataset-weka.filters.unsupervised.instance.Resample-S1-Z5.0-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.SwapValues-C5-F1-S6-weka.filters.unsupervised.attribute.SwapValues-C5-F2-S3-weka.filters.unsupervised.attribute.SwapValues-C3-F1-S6-weka.filters.unsupervised.attribute.SwapValues-C3-F5-S6-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-L2-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L2-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.NominalToBinary-R1,2,6-weka.filters.unsupervised.attribute.OrdinalToNumeric-R13-15-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R1,4-9,11-13,15-22'

@attribute airline=AirAsia numeric
@attribute airline=Vistara numeric
@attribute source_city=Kolkata numeric
@attribute stops numeric
@attribute days_left numeric
@attribute price numeric

@data
0,1,0,0.5,0.625,0.126177
0,0,0,0.5,0.5,0.127522
0,1,0,0.5,0.25,0.318424
0,1,0,0.5,0.729167,0.068148
1,0,1,0.5,0.708333,0.084291
0,0,0,0.5,0.4375,0.105601
0,1,0,0.5,0.333333,0.16525
0,0,0,0.5,0.25,0.136205
0,1,0,0.5,0.333333,0.119298
0,0,1,0.5,0.083333,0.386113
0,1,0,0.5,0.520833,0.101137
0,1,0,0.5,0.979167,0.115904
0,1,0,1,0.895833,0.238718
0,0,0,0,0.5,0.039898
0,0,0,0.5,0.354167,0.148282
0,0,0,0,0.958333,0.031216
0,0,0,0,0.4375,0.021249
0,1,0,0.5,0.270833,0.294699
0,0,0,0.5,0.229167,0.31503
1,0,1,0.5,0.645833,0.084291
0,1,1,0.5,0.5,0.188914
0,0,0,0.5,0.395833,0.157026
0,0,0,0.5,1,0.127522
0,0,0,0.5,0.104167,0.401523
0,0,0,0,0.541667,0.03036
0,0,0,0.5,0.458333,0.508133
0,1,0,0.5,0.833333,0.101841
0,1,0,0.5,0.645833,0.186988
0,1,0,0.5,0.125,0.318424
0,1,0,0.5,0.041667,0.402317
0,0,0,0.5,0.354167,0.155772
0,0,0,0.5,0.75,0.100556
0,1,0,0.5,0.333333,0.163752
0,0,0,0.5,0.020833,0.247524
0,1,0,0.5,0.479167,0.186988
0,1,0,0.5,0.1875,0.317445
0,1,0,0,0.354167,0.103858
1,0,1,0.5,0.708333,0.069524
0,1,0,0.5,0.729167,0.128929
0,0,0,0.5,0.020833,0.318057
0,0,0,0.5,0.25,0.321145
0,0,0,0.5,0.958333,0.161551
0,1,0,1,0.708333,0.210071
0,0,1,0.5,0.895833,0.310475
0,0,0,0.5,0.583333,0.063868
0,1,0,0.5,0.4375,0.259325
0,0,0,0.5,0.5,0.167482
0,0,0,0.5,0.3125,0.210438
0,1,0,0,0,0.160756
0,0,0,0.5,0.458333,0.089336
0,0,0,0.5,0.354167,0.144063
1,0,0,1,0.895833,0.042039
0,1,0,0.5,0.875,0.068148
0,0,0,0,0.541667,0.031154
1,0,0,0.5,0.854167,0.034334
0,0,1,0.5,0.25,0.164577
0,1,0,0.5,0.916667,0.072337
0,0,0,0.5,0.854167,0.052892
0,1,0,0.5,0.416667,0.141433
0,0,1,0,0.625,0.084291
0,0,0,0,0.354167,0.103797
0,0,0,0.5,0.520833,0.193255
1,0,0,1,0.75,0.042039
0,0,1,0.5,0.229167,0.325119
0,1,0,0.5,0.145833,0.326556
0,0,0,0.5,0.020833,0.30598
0,1,0,0.5,0.5,0.167329
0,0,0,0.5,0.645833,0.14235
0,0,0,0.5,0.9375,0.212333
0,0,0,0,0.604167,0.041549
0,0,0,0.5,0.854167,0.167329
0,0,0,0.5,0.104167,0.169928
0,0,0,0.5,0,0.651798
0,1,0,0.5,0.479167,0.101229
0,1,0,0,0.166667,0.206066
0,1,0,0.5,0.0625,0.350526
0,0,0,0.5,0.083333,0.291611
0,0,0,0.5,0.291667,0.118442
0,0,0,0.5,0.354167,0.088541
0,0,0,0.5,0.020833,0.363367
1,0,0,0,0.020833,0.169561
0,0,0,0.5,0.104167,0.222912
1,0,1,0.5,0.958333,0.090223
0,0,0,0.5,0.208333,0.239422
0,1,0,0.5,0.0625,0.208573
0,1,0,0.5,0.854167,0.112022
1,0,0,1,0.208333,0.191024
0,0,0,0.5,0.104167,0.365323
0,1,0,0.5,0.083333,0.279534
0,0,0,0.5,0.645833,0.115904
0,0,0,0,0.791667,0.103797
0,0,0,1,0.854167,0.257368
0,0,0,0.5,0.270833,0.265195
0,0,0,0.5,0.791667,0.097652
0,1,0,0.5,0.5625,0.173383
0,0,0,0.5,0.229167,0.124496
0,1,1,0.5,0.9375,0.151706
0,1,0,0.5,0.479167,0.230219
0,0,0,0.5,0.8125,0.100342
0,1,0,0.5,0.729167,0.168063
1,0,0,0.5,0.75,0.12581
0,1,0,0.5,0.9375,0.186988
1,0,0,0.5,0.208333,0.094625
0,0,0,0.5,1,0.156231
0,0,0,0.5,0.1875,0.446833
0,0,0,0.5,0.3125,0.113978
0,1,0,0.5,0.708333,0.120215
0,1,0,0.5,0.333333,0.170203
0,0,1,0.5,0.25,0.164608
0,1,0,0.5,0.854167,0.167788
0,1,0,0.5,0.979167,0.148098
0,1,0,1,0.541667,0.270729
0,1,0,0.5,0.375,0.214229
0,0,1,0.5,0.833333,0.121927
0,1,0,0.5,0.645833,0.073101
0,0,0,0.5,0.5,0.097499
0,0,0,0.5,0.916667,0.10126
0,0,1,0.5,0.083333,0.164577
0,0,0,0,0.145833,0.073163
0,0,0,0,0.770833,0.103797
0,0,0,0,0.8125,0.060872
0,0,1,0.5,0.541667,0.209551
0,0,0,0.5,0.125,0.094686
0,1,1,0.5,0.958333,0.151706
0,0,1,0.5,0.166667,0.504892
0,0,0,0.5,0.520833,0.165006
1,0,0,0.5,1,0.034334
0,1,1,1,0.979167,0.214198
1,0,0,0.5,0.270833,0.272472
0,0,0,0,0.854167,0
0,0,0,0.5,0.270833,0.235172
0,0,0,0.5,0.854167,0.089367
0,0,0,0.5,0.354167,0.358567
0,1,0,0.5,1,0.088449
0,0,0,0,0.8125,0.058334
0,1,1,1,1,0.214198
