@relation 'Clean_Dataset-weka.filters.unsupervised.instance.Resample-S1-Z5.0-weka.filters.unsupervised.attribute.Remove-R1,3-weka.filters.unsupervised.attribute.SwapValues-C5-F1-S6-weka.filters.unsupervised.attribute.SwapValues-C5-F2-S3-weka.filters.unsupervised.attribute.SwapValues-C3-F1-S6-weka.filters.unsupervised.attribute.SwapValues-C3-F5-S6-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C7-L2-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L2-weka.filters.unsupervised.attribute.Remove-R10-11-weka.filters.unsupervised.attribute.NominalToBinary-R1,2,6-weka.filters.unsupervised.attribute.OrdinalToNumeric-R13-15'

@attribute airline=SpiceJet numeric
@attribute airline=AirAsia numeric
@attribute airline=Vistara numeric
@attribute airline=GO_FIRST numeric
@attribute airline=Indigo numeric
@attribute airline=Air_India numeric
@attribute source_city=Delhi numeric
@attribute source_city=Mumbai numeric
@attribute source_city=Bangalore numeric
@attribute source_city=Kolkata numeric
@attribute source_city=Hyderabad numeric
@attribute source_city=Chennai numeric
@attribute departure_time numeric
@attribute stops numeric
@attribute arrival_time numeric
@attribute destination_city=Mumbai numeric
@attribute destination_city=Bangalore numeric
@attribute destination_city=Kolkata numeric
@attribute destination_city=Hyderabad numeric
@attribute destination_city=Chennai numeric
@attribute destination_city=Delhi numeric
@attribute duration numeric
@attribute days_left numeric
@attribute price numeric

@data
0,0,1,0,0,0,0,1,0,0,0,0,4,1,3,0,0,0,0,0,1,20.33,31,5232
0,0,0,0,0,1,1,0,0,0,0,0,4,1,2,0,0,1,0,0,0,14.83,25,5276
0,0,1,0,0,0,1,0,0,0,0,0,4,1,2,0,0,0,0,1,0,16.83,13,11520
0,0,1,0,0,0,0,1,0,0,0,0,4,1,2,0,0,0,1,0,0,15.58,36,3334
0,1,0,0,0,0,0,0,0,1,0,0,4,1,2,0,1,0,0,0,0,14.67,35,3862
0,0,0,0,0,1,1,0,0,0,0,0,2,1,4,0,0,1,0,0,0,10,22,4559
0,0,1,0,0,0,0,0,1,0,0,0,5,1,4,0,0,0,0,1,0,19.17,17,6510
0,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,5.5,13,5560
0,0,1,0,0,0,0,0,0,0,1,0,2,1,5,0,0,0,0,0,1,13.42,17,5007
0,0,0,0,0,1,0,0,0,1,0,0,2,1,4,0,0,0,1,0,0,8.92,5,13734
0,0,1,0,0,0,0,0,0,0,0,1,1,1,5,1,0,0,0,0,0,15.92,26,4413
0,0,1,0,0,0,1,0,0,0,0,0,1,1,4,0,1,0,0,0,0,10.25,48,4896
0,0,1,0,0,0,0,0,1,0,0,0,1,2,4,0,0,1,0,0,0,12,44,8913
0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,2.17,25,2410
0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,0,0,1,0,0,0,5.58,18,5955
1,0,0,0,0,0,0,1,0,0,0,0,5,0,5,0,1,0,0,0,0,1.75,47,2126
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1.17,22,1800
0,0,1,0,0,0,0,0,1,0,0,0,5,1,2,0,0,0,0,0,1,10.42,14,10744
0,0,0,0,0,1,0,0,0,0,0,1,2,1,5,1,0,0,0,0,0,13.08,12,11409
0,1,0,0,0,0,0,0,0,1,0,0,5,1,3,0,1,0,0,0,0,12.75,32,3862
0,0,1,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,1,0,22.42,25,7284
0,0,0,0,0,1,0,0,1,0,0,0,1,1,5,0,0,0,0,0,1,15,20,6241
0,0,0,0,0,1,1,0,0,0,0,0,4,1,2,0,0,1,0,0,0,13.83,49,5276
0,0,0,0,0,1,0,1,0,0,0,0,1,1,4,0,0,0,0,0,1,11.67,6,14238
0,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,2.25,27,2098
0,0,0,0,0,1,0,0,0,0,1,0,1,1,5,0,1,0,0,0,0,14.83,23,17725
0,0,1,0,0,0,0,0,0,0,1,0,2,1,5,1,0,0,0,0,0,13.5,41,4436
0,0,1,0,0,0,1,0,0,0,0,0,4,1,2,0,0,1,0,0,0,15.92,32,7221
0,0,1,0,0,0,1,0,0,0,0,0,4,1,5,0,0,0,0,1,0,6.33,7,11520
0,0,1,0,0,0,0,0,0,0,1,0,5,1,4,0,0,0,0,1,0,19.75,3,14264
0,0,0,0,0,1,0,0,1,0,0,0,3,1,5,0,0,0,1,0,0,10.25,18,6200
0,0,0,1,0,0,1,0,0,0,0,0,2,1,4,0,0,1,0,0,0,7.08,37,4394
0,0,1,0,0,0,0,0,0,0,1,0,5,1,5,0,1,0,0,0,0,23.83,17,6461
0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,13.92,2,9201
0,0,1,0,0,0,1,0,0,0,0,0,4,1,4,0,0,1,0,0,0,24.92,24,7221
0,0,1,0,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,1,13.92,10,11488
0,0,1,0,0,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,1,2.58,18,4502
0,1,0,0,0,0,0,0,0,1,0,0,3,1,5,1,0,0,0,0,0,7.08,35,3379
0,0,1,0,0,0,0,0,1,0,0,0,2,1,3,0,0,0,1,0,0,26.75,36,5322
0,0,0,0,0,1,0,1,0,0,0,0,2,1,5,0,0,1,0,0,0,11.75,2,11508
0,0,0,1,0,0,1,0,0,0,0,0,2,1,4,1,0,0,0,0,0,6.33,13,11609
0,0,0,1,0,0,0,0,1,0,0,0,5,1,2,1,0,0,0,0,0,11.92,47,6389
0,0,1,0,0,0,0,0,0,0,1,0,2,2,5,0,0,0,0,1,0,11.75,35,7976
0,0,0,0,0,1,0,0,0,1,0,0,4,1,3,0,0,0,0,0,1,18.75,44,11260
0,0,0,0,1,0,0,0,0,0,1,0,2,1,3,0,0,0,0,1,0,3.92,29,3194
0,0,1,0,0,0,0,0,0,0,0,1,3,1,3,0,1,0,0,0,0,27.5,22,9587
0,0,0,0,0,1,0,0,1,0,0,0,5,1,4,0,0,1,0,0,0,22.17,25,6583
0,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,7.17,16,7988
0,0,1,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,0,1,2.08,1,6363
0,0,0,0,1,0,0,0,0,0,0,1,4,1,5,1,0,0,0,0,0,4.92,23,4027
0,0,0,1,0,0,0,1,0,0,0,0,1,1,5,0,0,1,0,0,0,13.75,18,5817
0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,0,16,44,2480
0,0,1,0,0,0,0,1,0,0,0,0,4,1,2,0,0,0,1,0,0,13.92,43,3334
0,0,0,1,0,0,0,1,0,0,0,0,5,0,5,0,1,0,0,0,0,1.75,27,2124
0,1,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,1,5.58,42,2228
0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,1,9.58,13,6488
0,0,1,0,0,0,0,0,0,0,1,0,4,1,2,1,0,0,0,0,0,15.75,45,3471
0,0,0,0,0,1,0,1,0,0,0,0,1,1,3,0,0,1,0,0,0,4.25,42,2835
0,0,1,0,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,1,0,13.25,21,5731
0,0,0,0,1,0,0,0,0,1,0,0,2,0,3,0,1,0,0,0,0,2.83,31,3862
0,0,0,0,1,0,0,0,1,0,0,0,4,0,5,0,0,0,0,0,1,2.92,18,4500
0,0,0,1,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,8.5,26,7426
